signal_buffer,signal_buffer_label,lead_day,model,feature_set,n_oos,start_date,end_date,oos_r2_vs_train_mean,rmse_5td_target,mae_5td_target,corr_pred_actual_5td,direction_accuracy_5td,mean_predicted_return,mean_actual_5td_return,mean_ridge_alpha,daily_rebalanced_total_return,daily_rebalanced_annual_return,daily_rebalanced_annual_vol,daily_rebalanced_sharpe,daily_rebalanced_max_drawdown,daily_rebalanced_mean_turnover,daily_rebalanced_mean_position,daily_rebalanced_cash_share,signal_5td_proxy_total_return,signal_5td_proxy_annual_return,signal_5td_proxy_annual_vol,signal_5td_proxy_sharpe,signal_5td_proxy_max_drawdown,signal_5td_proxy_mean_turnover,signal_5td_proxy_mean_position,signal_5td_proxy_cash_share
0.0,0.0%,7,forecast_anom,lead07_forecast_anom,826,2022-01-03,2025-09-12,0.0002784274212238591,0.02732151360134416,0.019880670927376644,0.08494997483132063,0.5278450363196125,-0.0010182944606448093,0.001059547654524753,100.0,0.2650797348767948,0.07437183148612325,0.19610780779767353,0.4636483218126736,-0.15364881515682427,0.2796610169491525,-0.15738498789346247,0.0,4.846418662313478,0.7138247637023214,0.43155076019306204,1.464837662968554,-0.5578610033399166,0.2796610169491525,-0.15738498789346247,0.0
0.0,0.0%,7,forecast_anom_projected_change,lead07_forecast_anom_projected_change,826,2022-01-03,2025-09-12,0.004884776533205515,0.02725849718820347,0.01971365308059507,0.1016535407223311,0.5460048426150121,-0.0008603963389324332,0.001059547654524753,100.0,0.6299479604965845,0.16072936364287727,0.19596310465137656,0.8586687510013506,-0.13597077166435456,0.3062953995157385,-0.10653753026634383,0.0,12.399634061399388,1.2072872896721876,0.4296815264508513,2.0597981698961543,-0.538298148882757,0.3062953995157385,-0.10653753026634383,0.0
0.0,0.0%,7,price_calendar,lead07_price_calendar,826,2022-01-03,2025-09-12,-0.0035789541545874215,0.027374172282292965,0.019922569391692665,0.07193536899740005,0.5314769975786925,-0.0012322122185548915,0.001059547654524753,100.0,0.2494353011539776,0.07030091475242073,0.19612968842223102,0.44441203307824334,-0.2533571269319307,0.20702179176755447,-0.20823244552058112,0.0,2.7957436157305855,0.502223800255136,0.43217769852772275,1.1589263227012578,-0.6999583383529256,0.20702179176755447,-0.20823244552058112,0.0
0.0,0.0%,14,forecast_anom,lead14_forecast_anom,826,2022-01-03,2025-09-12,-0.0034023364869231187,0.02737176341591715,0.019934476816389626,0.07056960417423146,0.5157384987893463,-0.0010951079692396778,0.001059547654524753,100.0,0.1563351129990611,0.045311861971624845,0.19608015094637388,0.3239836219766643,-0.27677618969709195,0.23123486682808717,-0.18401937046004843,0.0,1.6432045945306535,0.3451962930543291,0.432667712879659,0.9025284779229545,-0.6866767164331704,0.23123486682808717,-0.18401937046004843,0.0
0.0,0.0%,14,forecast_anom_projected_change,lead14_forecast_anom_projected_change,826,2022-01-03,2025-09-12,0.00013958495417121242,0.027323410756891146,0.01977467798967868,0.08555929268210224,0.5351089588377724,-0.0009030429093521057,0.001059547654524753,100.0,1.1613159800357002,0.2650783883235275,0.19508750731392982,1.3029936368870891,-0.1168789665973945,0.2966101694915254,-0.13075060532687652,0.0,4.665941245918272,0.6975079502229906,0.43130876316462086,1.4440855483205384,-0.5353337200518273,0.2966101694915254,-0.13075060532687652,0.0
0.0,0.0%,14,price_calendar,lead14_price_calendar,826,2022-01-03,2025-09-12,-0.0035789541545874215,0.027374172282292965,0.019922569391692665,0.07193536899740005,0.5314769975786925,-0.0012322122185548915,0.001059547654524753,100.0,0.2494353011539776,0.07030091475242073,0.19612968842223102,0.44441203307824334,-0.2533571269319307,0.20702179176755447,-0.20823244552058112,0.0,2.7957436157305855,0.502223800255136,0.43217769852772275,1.1589263227012578,-0.6999583383529256,0.20702179176755447,-0.20823244552058112,0.0
0.0,0.0%,21,forecast_anom,lead21_forecast_anom,826,2022-01-03,2025-09-12,-0.007138716178436422,0.02742267832158712,0.01999025255644571,0.06217546827963603,0.5266343825665859,-0.0011553512830455516,0.001059547654524753,100.0,0.11320268153613644,0.033258749058610704,0.19617931293039972,0.264803851794112,-0.35188242063947706,0.31840193704600483,-0.20823244552058112,0.0,0.8360857537712276,0.20367632050330164,0.43281208782582975,0.6460119718090085,-0.8222689263897732,0.31840193704600483,-0.20823244552058112,0.0
0.0,0.0%,21,forecast_anom_projected_change,lead21_forecast_anom_projected_change,826,2022-01-03,2025-09-12,-0.006830538648037621,0.02741848242496618,0.019835960106954282,0.06976452970757045,0.5363196125907991,-0.0009372431173551541,0.001059547654524753,100.0,0.39095018461411013,0.10591608798136698,0.19589970494396447,0.6115607658375396,-0.20304360399111543,0.38861985472154964,-0.14285714285714285,0.0,2.4605323387429014,0.4604418795599696,0.4321213726836451,1.0937204190521865,-0.6524490918826049,0.38861985472154964,-0.14285714285714285,0.0
0.0,0.0%,21,price_calendar,lead21_price_calendar,826,2022-01-03,2025-09-12,-0.0035789541545874215,0.027374172282292965,0.019922569391692665,0.07193536899740005,0.5314769975786925,-0.0012322122185548915,0.001059547654524753,100.0,0.2494353011539776,0.07030091475242073,0.19612968842223102,0.44441203307824334,-0.2533571269319307,0.20702179176755447,-0.20823244552058112,0.0,2.7957436157305855,0.502223800255136,0.43217769852772275,1.1589263227012578,-0.6999583383529256,0.20702179176755447,-0.20823244552058112,0.0
0.0,0.0%,28,forecast_anom,lead28_forecast_anom,826,2022-01-03,2025-09-12,-0.005360276923763951,0.027398455681957014,0.019949657517495563,0.06605207480784564,0.5205811138014528,-0.0011430041110847614,0.001059547654524753,100.0,0.3168881970594881,0.08760838549523853,0.1960138200805101,0.5264146027645695,-0.29037867007783946,0.25544794188861986,-0.19854721549636803,0.0,3.0817234719473907,0.5358862696562783,0.4321017749229606,1.2102586344239716,-0.7268694877704244,0.25544794188861986,-0.19854721549636803,0.0
0.0,0.0%,28,forecast_anom_projected_change,lead28_forecast_anom_projected_change,826,2022-01-03,2025-09-12,-0.001895434150300801,0.02735120233571077,0.019843848313423045,0.07986506409248845,0.5193704600484261,-0.001028167308954247,0.001059547654524753,100.0,0.481941587093768,0.1275036548251527,0.19579804047044647,0.7107577431945515,-0.23814694853276452,0.3062953995157385,-0.18159806295399517,0.0,1.8090934428259375,0.37041057353233064,0.4325128253631658,0.9456660965898799,-0.6577237936179549,0.3062953995157385,-0.18159806295399517,0.0
0.0,0.0%,28,price_calendar,lead28_price_calendar,826,2022-01-03,2025-09-12,-0.0035789541545874215,0.027374172282292965,0.019922569391692665,0.07193536899740005,0.5314769975786925,-0.0012322122185548915,0.001059547654524753,100.0,0.2494353011539776,0.07030091475242073,0.19612968842223102,0.44441203307824334,-0.2533571269319307,0.20702179176755447,-0.20823244552058112,0.0,2.7957436157305855,0.502223800255136,0.43217769852772275,1.1589263227012578,-0.6999583383529256,0.20702179176755447,-0.20823244552058112,0.0
